id_partida,id_arbitro
1,ARB7
1,ASS8
1,ASS51
1,VAR6
2,ARB27
2,ASS5
2,ASS15
2,VAR2
3,ARB15
3,ASS33
3,ASS55
3,VAR5
4,ARB20
4,ASS30
4,ASS45
4,VAR13
5,ARB22
5,ASS9
5,ASS52
5,VAR7
6,ARB33
6,ASS36
6,ASS56
6,VAR22
7,ARB25
7,ASS12
7,ASS37
7,VAR21
8,ARB18
8,ASS19
8,ASS53
8,VAR8
9,ARB28
9,ASS23
9,ASS54
9,VAR10
10,ARB35
10,ASS21
10,ASS25
10,VAR5
11,ARB32
11,ASS18
11,ASS41
11,VAR4
12,ARB26
12,ASS13
12,ASS42
12,VAR11
13,ARB2
13,ASS3
13,ASS32
13,VAR22
14,ARB31
14,ASS10
14,ASS17
14,VAR6
15,ARB12
15,ASS24
15,ASS58
15,VAR9
16,ARB24
16,ASS34
16,ASS39
16,VAR24
17,ARB29
17,ASS11
17,ASS40
17,VAR3
18,ARB11
18,ASS46
18,ASS47
18,VAR16
19,ARB9
19,ASS20
19,ASS31
19,VAR17
20,ARB10
20,ASS4
20,ASS23
20,VAR10
21,ARB24
21,ASS34
21,ASS39
21,VAR1
22,ARB3
22,ASS35
22,ASS43
22,VAR21
23,ARB6
23,ASS7
23,ASS19
23,VAR15
24,ARB7
24,ASS8
24,ASS51
24,VAR13
25,ARB5
25,ASS16
25,ASS20
25,VAR12
26,ARB4
26,ASS50
26,ASS57
26,VAR9
27,ARB23
27,ASS14
27,ASS31
27,VAR14
28,ARB34
28,ASS26
28,ASS27
28,VAR6
29,ARB20
29,ASS30
29,ASS45
29,VAR19
30,ARB2
30,ASS3
30,ASS32
30,VAR17
31,ARB26
31,ASS13
31,ASS42
31,VAR11
32,ARB12
32,ASS24
32,ASS58
32,VAR2
33,ARB11
33,ASS46
33,ASS47
33,VAR16
34,ARB25
34,ASS12
34,ASS37
34,VAR21
35,ARB33
35,ASS36
35,ASS56
35,VAR22
36,ARB19
36,ASS28
36,ASS29
36,VAR15
37,ARB22
37,ASS9
37,ASS52
37,VAR23
38,ARB16
38,ASS38
38,ASS44
38,VAR4
39,ARB9
39,ASS20
39,ASS48
39,VAR11
40,ARB4
40,ASS1
40,ASS2
40,VAR1
41,ARB24
41,ASS34
41,ASS39
41,VAR19
42,ARB29
42,ASS11
42,ASS28
42,VAR7
43,ARB35
43,ASS21
43,ASS25
43,VAR5
44,ARB28
44,ASS23
44,ASS54
44,VAR1
45,ARB32
45,ASS18
45,ASS41
45,VAR4
46,ARB10
46,ASS4
46,ASS6
46,VAR18
47,ARB18
47,ASS19
47,ASS53
47,VAR8
48,ARB32
48,ASS50
48,ASS57
48,VAR3
49,ARB16
49,ASS38
49,ASS44
49,VAR4
50,ARB34
50,ASS26
50,ASS27
50,VAR7
51,ARB26
51,ASS13
51,ASS42
51,VAR11
52,ARB23
52,ASS14
52,ASS31
52,VAR6
53,ARB3
53,ASS35
53,ASS43
53,VAR13
54,ARB33
54,ASS36
54,ASS56
54,VAR22
55,ARB19
55,ASS28
55,ASS29
55,VAR15
56,ARB31
56,ASS10
56,ASS17
56,VAR16
57,ARB18
57,ASS19
57,ASS53
57,VAR8
58,ARB7
58,ASS8
58,ASS51
58,VAR10
59,ARB29
59,ASS11
59,ASS40
59,VAR3
60,ARB2
60,ASS3
60,ASS32
60,VAR11
61,ARB16
61,ASS38
61,ASS44
61,VAR11
62,ARB19
62,ASS28
62,ASS29
62,VAR15
63,ARB7
63,ASS8
63,ASS51
63,VAR5