id_partida,data_hora,fase,id_time_a,id_time_b,id_estadio,gols_time_a,gols_time_b,vencedor,publico
1,14/06/2025 20:00,Fase de Grupos,1,2,5,0,0,0,60.927
2,15/06/2025 12:00,Fase de Grupos,10,9,12,10,0,10,23.402
3,15/06/2025 12:00,Fase de Grupos,7,5,11,4,0,7,80.619
4,15/06/2025 18:00,Fase de Grupos,3,4,10,0,0,0,46.275
5,15/06/2025 19:00,Fase de Grupos,6,8,8,2,1,6,30.151
6,16/06/2025 15:00,Fase de Grupos,13,16,9,2,0,13,22.137
7,16/06/2025 18:00,Fase de Grupos,12,11,5,2,2,0,55.574
8,16/06/2025 21:00,Fase de Grupos,15,14,7,2,0,15,25.797
9,17/06/2025 12:00,Fase de Grupos,22,21,10,0,0,0,34.736
10,17/06/2025 12:00,Fase de Grupos,19,20,8,3,1,19,11.974
11,17/06/2025 19:00,Fase de Grupos,24,23,6,0,1,23,3.412
12,17/06/2025 18:00,Fase de Grupos,18,17,11,1,1,0,40.311
13,18/06/2025 12:00,Fase de Grupos,27,28,7,2,0,27,37.446
14,18/06/2025 15:00,Fase de Grupos,32,29,5,1,1,0,62.415
15,18/06/2025 18:00,Fase de Grupos,30,31,12,1,2,31,5.282
16,18/06/2025 21:00,Fase de Grupos,25,26,1,0,5,26,18.161
17,19/06/2025 12:00,Fase de Grupos,3,1,10,2,0,3,35.179
18,19/06/2025 15:00,Fase de Grupos,2,4,9,2,1,2,31.783
19,19/06/2025 15:00,Fase de Grupos,8,5,8,1,3,5,51.636
20,19/06/2025 18:00,Fase de Grupos,7,6,11,0,1,6,53.699
21,20/06/2025 12:00,Fase de Grupos,11,9,6,6,0,11,6.730
22,20/06/2025 14:00,Fase de Grupos,15,13,7,3,1,15,54.019
23,20/06/2025 17:00,Fase de Grupos,16,14,4,0,1,14,24.129
24,20/06/2025 21:00,Fase de Grupos,10,12,5,2,1,10,63.587
25,21/06/2025 12:00,Fase de Grupos,23,21,12,3,4,21,14.006
26,21/06/2025 12:00,Fase de Grupos,17,20,8,2,1,17,25.090
27,21/06/2025 18:00,Fase de Grupos,22,20,10,4,2,22,47.669
28,22/06/2025 18:00,Fase de Grupos,19,18,11,0,0,0,57.393
29,22/06/2025 12:00,Fase de Grupos,26,28,7,4,1,26,31.975
30,22/06/2025 15:00,Fase de Grupos,32,30,2,3,1,32,70.248
31,22/06/2025 18:00,Fase de Grupos,31,29,1,0,0,0,16.167
32,22/06/2025 21:00,Fase de Grupos,27,25,9,6,0,27,40.392
33,23/06/2025 12:00,Fase de Grupos,8,7,8,0,2,7,50.628
34,23/06/2025 12:00,Fase de Grupos,5,6,11,1,0,5,22.992
35,23/06/2025 21:00,Fase de Grupos,4,1,10,4,4,0,39.893
36,23/06/2025 21:00,Fase de Grupos,2,3,5,2,2,0,60.914
37,24/06/2025 14:00,Fase de Grupos,9,12,4,1,1,0,16.899
38,24/06/2025 15:00,Fase de Grupos,11,10,2,1,0,11,33.287
39,24/06/2025 21:00,Fase de Grupos,14,13,7,0,3,13,32.967
40,24/06/2025 21:00,Fase de Grupos,16,15,3,1,1,0,32.933
41,25/06/2025 15:00,Fase de Grupos,21,24,12,1,0,21,8.239
42,25/06/2025 15:00,Fase de Grupos,23,22,5,0,0,0,14.312
43,25/06/2025 18:00,Fase de Grupos,20,18,11,0,4,18,14.312
44,25/06/2025 18:00,Fase de Grupos,17,19,8,2,0,17,45.135
45,26/06/2025 15:00,Fase de Grupos,26,27,3,2,5,27,54.320
46,26/06/2025 15:00,Fase de Grupos,28,25,1,1,2,25,10.785
47,26/06/2025 20:00,Fase de Grupos,29,30,4,2,0,29,14.147
48,26/06/2025 21:00,Fase de Grupos,31,32,7,0,3,32,64.811
49,28/06/2025 12:00,Oitavas de Final,3,6,7,1,0,3,33.657
50,28/06/2025 16:00,Oitavas de Final,11,13,2,1,4,13,25.929
51,29/06/2025 12:00,Oitavas de Final,2,7,9,0,4,7,65.574
52,29/06/2025 16:00,Oitavas de Final,15,10,5,2,4,10,60.914
53,30/06/2025 15:00,Oitavas de Final,17,22,2,0,2,22,20.030
54,30/06/2025 21:00,Oitavas de Final,27,29,3,3,4,29,42.311
55,01/07/2025 15:00,Oitavas de Final,32,26,5,1,0,32,62.149
56,01/07/2025 21:00,Oitavas de Final,21,18,9,2,1,21,31.442
57,04/07/2025 15:00,Quartas de Final,22,29,3,2,1,22,43.091
58,04/07/2025 21:00,Quartas de Final,3,13,7,1,2,13,65.782
59,05/07/2025 12:00,Quartas de Final,10,7,9,0,2,7,66.937
60,05/07/2025 16:00,Quartas de Final,32,21,10,3,2,32,76.611
61,08/07/2025 15:00,SemiFinal,22,13,10,0,2,13,70.556
62,09/07/2025 15:00,SemiFinal,7,32,10,4,0,7,77.542
63,13/07/2025 15:00,Final,13,7,10,3,0,13,81.118